          (   9,    0) (   0,    1) (   0,    3) (   0,    4) (   0,    1) (   9,    0) (   0,    1) (   0,    3) (   0,    4) (   0,    1)
          (   9,    0) (   0,    1) (   0,    3) (   0,    4) (   0,    1) (   9,    0) (   0,    1) (   0,    3) (   0,    4) (   0,    1)
          (   9,    0) (   0,    1) (   0,    3) (   0,    4) (   0,    1) (   9,    0) (   0,    1) (   0,    3) (   0,    4) (   0,    1)
          (   9,    0) (   0,    1) (   0,    3) (   0,    4) (   0,    1) (   9,    0) (   0,    1) (   0,    3) (   0,    4) (   0,    1)
          (   9,    0) (   0,    1) (   0,    3) (   0,    4) (   0,    1) (   9,    0) (   0,    1) (   0,    3) (   0,    4) (   0,    1)
          (   9,    0) (   0,    1) (   0,    3) (   0,    4) (   0,    1) (   9,    0) (   0,    1) (   0,    3) (   0,    4) (   0,    1)
         
node   1 sent_total   1224  recv_total   1224

node   2  (   1,    0) (   0,    0) (   0,    1) (   0,    0) (   0,    0) (   0,    0) (   2,    0) (   0,    3) (   0,    4) (   0,    2)
          (   0,    0) (  10,    1) (   0,    3) (   0,    4) (   0,    2) (   0,    0) (  10,    1) (   0,    3) (   0,    4) (   0,    2)
          (   0,    0) (  10,    1) (   0,    3) (   0,    4) (   0,    2) (   0,    0) (  10,    1) (   0,    3) (   0,    4) (   0,    2)
          (   0,    0) (  10,    1) (   0,    3) (   0,    4) (   0,    2) (   0,    0) (  10,    1) (   0,    3) (   0,    4) (   0,    2)
          (   0,    0) (  10,    1) (   0,    3) (   0,    4) (   0,    2) (   0,    0) (  10,    1) (   0,    3) (   0,    4) (   0,    2)
          (   0,    0) (  10,    1) (   0,    3) (   0,    4) (   0,    2) (   0,    0) (   8,    1) (   0,    1) (   0,    4) (   0,    1)
          (   0,    0) (  10,    1) (   0,    3) (   0,    4) (   0,    2) (   0,    0) (  10,    1) (   0,    2) (   0,    4) (   0,    2)
          (   0,    0) (   8,    1) (   0,    3) (   0,    3) (   0,    1) (   0,    0) (   7,    1) (   0,    1) (   0,    4) (   0,    2)
          (   0,    0) (   7,    1) (   0,    2) (   0,    4) (   0,    2) (   0,    0) (  10,    1) (   0,    3) (   0,    3) (   0,    2)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    2) (   0,    0) (  10,    1) (   0,    3) (   0,    3) (   0,    2)
          (   0,    0) (   8,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (  10,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    0) (   0,    0) (  10,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    2) (   0,    1) (   0,    0) (   7,    1) (   0,    1) (   0,    4) (   0,    1)
          (   0,    0) (   7,    1) (   0,    2) (   0,    4) (   0,    1) (   0,    0) (   9,    0) (   0,    3) (   0,    2) (   0,    1)
          (   0,    0) (   9,    0) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   8,    1) (   0,    3) (   0,    4) (   0,    0)
          (   0,    0) (   9,    1) (   0,    3) (   0,    3) (   0,    1) (   0,    0) (   8,    1) (   0,    3) (   0,    3) (   0,    0)
          (   0,    0) (   8,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   6,    1) (   0,    1) (   0,    3) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   7,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   8,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   6,    1) (   0,    2) (   0,    2) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    3) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    3) (   0,    1)
          (   0,    0) (   9,    1) (   0,    2) (   0,    4) (   0,    1) (   0,    0) (   8,    1) (   0,    3) (   0,    2) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    3) (   0,    1) (   0,    0) (   6,    1) (   0,    3) (   0,    4) (   0,    0)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   8,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   8,    1) (   0,    2) (   0,    4) (   0,    1)
          (   0,    0) (   8,    1) (   0,    3) (   0,    3) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   8,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   7,    1) (   0,    3) (   0,    3) (   0,    1)
          (   0,    0) (   8,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   8,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    0) (   0,    0) (   7,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   8,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    2) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    3) (   0,    1) (   0,    0) (   9,    1) (   0,    2) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
         
node   2 sent_total   1222  recv_total   1225

node   3  (   1,    0) (   0,    0) (   0,    1) (   0,    0) (   0,    0) (   0,    0) (   3,    0) (   0,    2) (   0,    4) (   0,    2)
          (   0,    0) (  10,    1) (   0,    3) (   0,    4) (   0,    2) (   0,    0) (  10,    1) (   0,    3) (   0,    4) (   0,    2)
          (   0,    0) (  10,    1) (   0,    3) (   0,    4) (   0,    2) (   0,    0) (  10,    1) (   0,    3) (   0,    4) (   0,    2)
          (   0,    0) (  10,    1) (   0,    3) (   0,    4) (   0,    2) (   0,    0) (  10,    1) (   0,    3) (   0,    4) (   0,    2)
          (   0,    0) (  10,    1) (   0,    3) (   0,    4) (   0,    2) (   0,    0) (  10,    1) (   0,    3) (   0,    4) (   0,    2)
          (   0,    0) (   8,    1) (   0,    3) (   0,    3) (   0,    1) (   0,    0) (  10,    1) (   0,    3) (   0,    4) (   0,    2)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    2) (   0,    0) (   6,    1) (   0,    3) (   0,    4) (   0,    2)
          (   0,    0) (  10,    1) (   0,    3) (   0,    4) (   0,    2) (   0,    0) (   8,    1) (   0,    2) (   0,    4) (   0,    2)
          (   0,    0) (  10,    1) (   0,    2) (   0,    4) (   0,    2) (   0,    0) (  10,    1) (   0,    3) (   0,    3) (   0,    2)
          (   0,    0) (  10,    1) (   0,    3) (   0,    3) (   0,    2) (   0,    0) (  10,    1) (   0,    3) (   0,    3) (   0,    2)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    0)
          (   0,    0) (  10,    1) (   0,    2) (   0,    2) (   0,    1) (   0,    0) (   9,    0) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   8,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    3) (   0,    1) (   0,    0) (   8,    1) (   0,    3) (   0,    2) (   0,    1)
          (   0,    0) (   6,    1) (   0,    2) (   0,    3) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    3) (   0,    1)
          (   0,    0) (   8,    1) (   0,    3) (   0,    3) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    3) (   0,    1)
          (   0,    0) (   8,    0) (   0,    3) (   0,    3) (   0,    0) (   0,    0) (   8,    1) (   0,    3) (   0,    3) (   0,    1)
          (   0,    0) (   7,    1) (   0,    2) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    3) (   0,    1)
          (   0,    0) (   8,    1) (   0,    2) (   0,    4) (   0,    0) (   0,    0) (   7,    0) (   0,    2) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    3) (   0,    1) (   0,    0) (   7,    1) (   0,    2) (   0,    1) (   0,    1)
          (   0,    0) (   7,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   8,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   8,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   8,    1) (   0,    2) (   0,    4) (   0,    1)
          (   0,    0) (   8,    0) (   0,    3) (   0,    3) (   0,    1) (   0,    0) (   7,    1) (   0,    2) (   0,    4) (   0,    1)
          (   0,    0) (   8,    1) (   0,    3) (   0,    3) (   0,    1) (   0,    0) (   9,    0) (   0,    3) (   0,    3) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   8,    1) (   0,    2) (   0,    4) (   0,    1) (   0,    0) (   7,    1) (   0,    3) (   0,    3) (   0,    1)
          (   0,    0) (   7,    1) (   0,    3) (   0,    4) (   0,    0) (   0,    0) (   8,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   7,    1) (   0,    3) (   0,    3) (   0,    1)
          (   0,    0) (   8,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   7,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
          (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1) (   0,    0) (   9,    1) (   0,    3) (   0,    4) (   0,    1)
